,city,country,date,lat,lon,max_temp,temperature,humidity,cloudiness,wind speed
0,castro,BR,1582183000,-24.79,-50.01,65.98,65.98,97,95,1.03
1,busselton,AU,1582183001,-33.65,115.33,93.99,92.73,9,0,2.68
2,zyukayka,RU,1582183001,58.2,54.7,31.37,31.37,93,91,8.93
3,robore,BO,1582183001,-18.33,-59.75,76.57,76.57,83,95,1.7
4,rikitea,PF,1582183001,-23.12,-134.97,78.49,78.49,80,14,14.5
5,cape town,ZA,1582183001,-33.93,18.42,73.99,70.11,77,40,19.46
6,saint-joseph,RE,1582183002,-21.37,55.62,86.0,82.26,58,0,21.92
7,nome,US,1582183002,64.5,-165.41,5.0,3.87,77,90,12.75
8,salinas,US,1582183002,36.68,-121.66,51.01,46.65,87,90,1.48
9,chokurdakh,RU,1582183003,70.63,147.92,-10.03,-10.03,92,86,7.0
10,kaitangata,NZ,1582183003,-46.28,169.85,59.0,57.24,96,92,11.99
11,mikhaylovka,RU,1582183003,50.06,43.24,36.0,36.0,94,100,5.01
12,bluff,NZ,1582183003,-46.6,168.33,70.0,70.0,77,100,4.0
13,new norfolk,AU,1582183004,-42.78,147.06,64.4,60.48,39,40,17.22
14,atuona,PF,1582183004,-9.8,-139.03,81.16,81.16,80,16,19.35
15,itanhaem,BR,1582183004,-24.18,-46.79,71.6,71.6,88,20,4.7
16,cherskiy,RU,1582183005,68.75,161.3,-20.24,-20.24,97,99,4.99
17,makokou,GA,1582183005,0.57,12.86,71.26,71.26,94,68,1.81
18,haines junction,CA,1582183005,60.75,-137.51,17.46,17.46,94,89,13.65
19,christchurch,NZ,1582182900,-43.53,172.63,64.99,62.19,82,100,17.22
20,vaini,TO,1582183005,-21.2,-175.2,78.8,78.8,69,40,6.93
21,hobart,AU,1582182855,-42.88,147.33,64.4,60.8,39,40,17.22
22,antalaha,MG,1582183006,-14.9,50.28,81.75,81.75,74,37,6.8
23,ushuaia,AR,1582182918,-54.8,-68.3,46.4,46.4,87,75,24.16
24,jalu,LY,1582183006,29.03,21.55,52.36,52.36,73,0,6.49
25,northam,GB,1582183007,51.03,-4.22,50.0,48.67,93,75,14.99
26,jamestown,US,1582183007,42.1,-79.24,24.8,19.62,85,90,5.53
27,punta arenas,CL,1582183007,-53.15,-70.92,44.6,42.6,71,40,9.17
28,arraial do cabo,BR,1582183007,-22.97,-42.03,77.34,77.34,86,100,23.94
29,henties bay,NA,1582183007,-22.12,14.28,64.99,64.99,96,100,3.02
30,thompson,CA,1582183008,55.74,-97.86,1.4,1.4,64,5,8.05
31,itarema,BR,1582183008,-2.92,-39.92,74.44,74.44,93,100,3.67
32,sao francisco do sul,BR,1582183008,-26.24,-48.64,75.0,71.47,86,88,5.95
33,asosa,ET,1582183008,10.07,34.53,77.52,77.52,15,21,7.56
34,longyearbyen,SJ,1582183009,78.22,15.64,10.4,10.4,60,75,23.04
35,port hardy,CA,1582183009,50.7,-127.42,30.2,30.2,92,40,4.7
36,tuktoyaktuk,CA,1582183009,69.45,-133.04,5.0,5.0,77,90,18.34
37,coihaique,CL,1582183009,-45.58,-72.07,32.67,32.67,95,0,2.13
38,izhma,RU,1582183009,65.01,53.91,32.02,32.02,91,100,8.79
39,sitka,US,1582183010,57.05,-135.33,37.4,36.82,86,90,5.82
40,mataura,NZ,1582183010,-46.19,168.86,70.0,70.0,77,93,4.0
41,sabha,LY,1582183010,27.04,14.43,50.54,50.54,49,50,9.26
42,petropavlovsk-kamchatskiy,RU,1582183010,53.05,158.65,19.4,19.4,31,0,4.47
43,port lincoln,AU,1582183010,-34.73,135.87,64.44,64.44,57,98,11.54
44,ndele,CF,1582183011,8.41,20.65,76.1,76.1,25,51,6.73
45,smithers,CA,1582183011,54.78,-127.17,24.8,24.8,79,90,3.36
46,fortuna,US,1582183011,40.6,-124.16,41.0,40.05,100,40,3.51
47,albany,US,1582182723,42.6,-73.97,26.6,20.97,72,90,4.7
48,port elizabeth,ZA,1582183011,-33.92,25.57,80.6,80.6,61,35,28.86
49,oranjemund,NA,1582183012,-28.55,16.43,66.4,66.4,89,97,10.11
50,adrar,MR,1582183012,20.5,-10.07,65.59,65.59,15,0,12.12
51,khatanga,RU,1582183012,71.97,102.5,-7.37,-7.37,85,6,4.81
52,iqaluit,CA,1582182734,63.75,-68.51,-31.0,-31.0,59,40,9.17
53,coari,BR,1582183013,-4.08,-63.14,74.73,74.73,97,100,0.56
54,bima,ID,1582183013,-8.47,118.72,76.39,76.39,92,100,2.01
55,ribeira grande,PT,1582183013,38.52,-28.7,51.8,51.8,57,20,11.41
56,barrow,US,1582183007,71.29,-156.79,-2.2,-2.2,77,90,9.17
57,registro,BR,1582183014,-24.49,-47.84,73.35,73.35,98,93,1.16
58,mayo,US,1582183014,38.89,-76.51,37.99,32.02,45,1,8.48
59,hermanus,ZA,1582183014,-34.42,19.23,73.99,70.16,99,85,1.01
60,khromtau,KZ,1582183014,50.25,58.43,22.1,22.1,87,49,9.57
61,hithadhoo,MV,1582183014,-0.6,73.08,82.92,82.92,78,28,16.15
62,ponta do sol,PT,1582183015,32.67,-17.1,60.8,55.74,59,40,8.05
63,san rafael del sur,NI,1582183015,11.85,-86.44,80.6,80.6,69,20,16.11
64,port alfred,ZA,1582183015,-33.59,26.89,87.01,87.01,67,37,1.99
65,lagunas,PE,1582183015,-5.23,-75.68,73.92,73.92,92,78,2.17
66,calama,CL,1582183016,-22.47,-68.93,55.4,55.4,54,64,9.17
67,waw,SS,1582183016,7.7,28.0,77.99,77.99,19,59,7.81
68,kyzyl-suu,KG,1582183016,42.34,78.0,27.03,27.03,62,0,5.5
69,hasaki,JP,1582182791,35.73,140.83,54.0,52.7,71,75,9.17
70,tasiilaq,GL,1582183016,65.61,-37.64,21.2,21.2,79,83,6.13
71,hilo,US,1582183017,19.73,-155.09,73.4,68.58,69,75,4.7
72,saldanha,ZA,1582183017,-33.01,17.94,68.0,68.0,91,90,11.41
73,tazovskiy,RU,1582183017,67.47,78.7,20.64,20.64,94,100,7.23
74,beyneu,KZ,1582183017,45.32,55.2,37.65,37.65,43,100,14.41
75,paramonga,PE,1582183017,-10.67,-77.83,71.04,71.04,89,100,7.74
76,victoria,HK,1582182900,22.29,114.16,77.0,70.16,56,0,11.41
77,nanortalik,GL,1582183018,60.14,-45.24,19.04,19.04,51,100,7.74
78,saskylakh,RU,1582183018,71.92,114.08,-10.61,-10.61,93,0,2.19
79,qaanaaq,GL,1582183018,77.48,-69.36,-13.29,-13.29,53,0,3.89
80,padang,ID,1582183019,-0.95,100.35,85.73,85.73,52,21,5.03
81,porbandar,IN,1582183019,21.64,69.61,76.19,76.19,66,0,8.59
82,aljezur,PT,1582183019,37.32,-8.8,54.0,52.57,78,0,4.38
83,burnie,AU,1582183019,-41.07,145.92,64.99,62.42,53,1,20.0
84,bulgan,MN,1582183020,48.81,103.53,15.37,15.37,79,69,8.48
85,dunedin,NZ,1582183020,-45.87,170.5,59.0,59.0,87,97,3.0
86,haikou,CN,1582183020,20.05,110.34,80.6,80.6,51,20,17.9
87,doha,QA,1582183020,25.29,51.53,84.99,77.83,47,87,10.29
88,tuatapere,NZ,1582183020,-46.13,167.68,70.0,70.0,77,100,4.0
89,la ronge,CA,1582183021,55.1,-105.28,5.0,5.0,77,5,5.82
90,bredasdorp,ZA,1582183021,-34.53,20.04,69.8,68.72,83,75,5.82
91,bengkulu,ID,1582182930,-3.8,102.27,92.53,92.53,47,3,0.27
92,kodiak,US,1582183021,57.79,-152.41,37.4,37.4,86,90,10.29
93,lodja,CD,1582183021,-3.48,23.43,68.99,68.99,99,100,3.38
94,hayvoron,UA,1582183022,48.34,29.87,35.22,35.22,78,62,3.31
95,dingle,PH,1582183022,11.0,122.67,78.17,78.17,79,97,18.9
96,guerrero negro,MX,1582183022,27.98,-114.06,59.07,59.07,86,0,8.12
97,marrakesh,MA,1582183023,31.63,-8.01,51.8,51.8,87,40,6.93
98,goderich,CA,1582183023,43.75,-81.72,23.0,19.8,74,84,8.99
99,katsuura,JP,1582183023,35.13,140.3,55.99,54.18,58,75,3.36
100,yellowknife,CA,1582183023,62.46,-114.35,15.8,15.03,85,75,5.82
101,cidreira,BR,1582183024,-30.18,-50.21,74.7,74.7,81,22,10.98
102,taloqan,AF,1582183024,36.74,69.53,40.57,40.57,44,28,3.78
103,fort nelson,CA,1582182793,58.81,-122.7,10.4,10.4,85,40,5.82
104,upernavik,GL,1582183024,72.79,-56.15,0.77,0.77,94,100,5.1
105,pokhara,NP,1582182897,28.23,83.98,77.02,77.02,37,96,3.51
106,seymchan,RU,1582183025,62.88,152.43,-19.62,-19.62,100,100,2.53
107,zhigansk,RU,1582183025,66.77,123.37,-7.6,-7.6,96,100,22.39
108,san patricio,MX,1582183025,19.22,-104.7,75.9,75.9,78,0,2.53
109,avarua,CK,1582183025,-21.21,-159.78,80.6,80.6,88,100,4.7
110,sibenik,HR,1582183026,43.73,15.91,48.2,48.13,34,18,10.29
111,east london,ZA,1582182743,-33.02,27.91,82.4,82.4,69,71,5.82
112,clyde river,CA,1582183026,70.47,-68.59,-11.2,-11.2,83,90,13.87
113,tonshayevo,RU,1582183026,57.74,47.01,31.84,31.84,94,97,9.73
114,tura,IN,1582183027,25.52,90.22,85.53,85.53,24,100,3.78
115,bethel,US,1582183027,41.37,-73.41,32.0,27.0,46,1,3.36
116,laguna,US,1582183027,38.42,-121.42,51.01,45.95,70,1,2.1
117,puerto ayora,EC,1582183027,-0.74,-90.35,77.56,77.56,89,42,8.34
118,georgetown,MY,1582182889,5.41,100.34,91.4,91.4,52,20,6.93
119,bandarbeyla,SO,1582183028,9.49,50.81,77.41,77.41,71,100,7.23
120,tortoli,IT,1582182856,39.93,9.66,53.6,53.6,58,5,19.46
121,maues,BR,1582183028,-3.38,-57.72,73.76,73.76,99,100,1.01
122,ambon,ID,1582183029,-3.7,128.18,85.33,85.33,70,19,15.41
123,mandiana,GN,1582183029,10.63,-8.68,68.0,68.0,19,12,4.54
124,norman wells,CA,1582183029,65.28,-126.83,6.8,6.8,84,75,3.36
125,severodvinsk,RU,1582183029,64.56,39.83,28.4,28.4,79,40,6.71
126,butaritari,KI,1582183029,3.07,172.79,82.71,82.71,81,100,13.62
127,miles city,US,1582183030,46.41,-105.84,12.0,10.98,92,1,9.17
128,flinders,AU,1582183030,-34.58,150.86,73.0,71.15,53,40,14.99
129,springdale,US,1582182916,36.19,-94.13,44.6,42.6,45,90,13.87
130,los llanos de aridane,ES,1582183030,28.66,-17.92,62.6,62.6,63,75,13.87
131,coquimbo,CL,1582183030,-29.95,-71.34,61.92,61.92,90,0,1.23
132,mamlyutka,KZ,1582183031,54.94,68.54,26.6,26.6,86,90,24.61
133,antofagasta,CL,1582182960,-23.65,-70.4,68.0,68.0,77,90,2.24
134,woodward,US,1582182998,36.43,-99.39,34.0,33.17,82,90,17.22
135,bud,US,1582183032,39.45,-86.18,30.99,28.69,68,90,9.17
136,sao filipe,CV,1582183032,14.9,-24.5,71.47,71.47,65,45,20.11
137,lebu,CL,1582183032,-37.62,-73.65,50.47,50.47,62,0,5.01
138,margate,GB,1582182754,51.38,1.39,48.99,47.41,93,75,19.46
139,pevek,RU,1582183032,69.7,170.31,-13.2,-13.2,99,100,5.3
140,saint-philippe,RE,1582183033,-21.36,55.77,86.0,82.26,58,0,21.92
141,hommelvik,NO,1582183033,63.41,10.79,37.4,36.07,55,100,8.05
142,vanimo,PG,1582183033,-2.67,141.3,82.02,82.02,79,59,15.14
143,progreso,MX,1582183033,21.28,-89.67,77.0,75.76,83,5,9.17
144,omsukchan,RU,1582183034,62.53,155.8,-24.54,-24.54,100,87,1.88
145,sile,TR,1582183034,41.18,29.61,48.99,46.08,93,75,9.17
146,camopi,GF,1582183034,3.17,-52.32,71.28,71.28,90,89,4.59
147,baijiantan,CN,1582183034,45.63,85.18,22.05,22.05,81,70,9.64
148,brae,GB,1582183035,60.4,-1.35,42.8,41.79,75,75,20.8
149,cabo san lucas,MX,1582182908,22.89,-109.91,66.99,65.26,71,7,8.03
150,kurilsk,RU,1582183035,45.23,147.88,25.56,25.56,74,91,18.03
151,vestmannaeyjar,IS,1582183035,63.44,-20.27,35.6,35.6,70,75,17.22
152,kapaa,US,1582183035,22.08,-159.32,75.2,73.22,73,90,23.04
153,tiksi,RU,1582183036,71.69,128.87,-2.25,-2.25,83,100,12.17
154,egvekinot,RU,1582183036,66.32,-179.17,-17.07,-17.07,86,0,9.35
155,garowe,SO,1582183036,8.41,48.48,74.98,74.98,62,100,10.89
156,gunjur,GM,1582183036,13.2,-16.73,71.6,71.6,53,71,4.7
157,campbell river,CA,1582182881,50.02,-125.24,32.0,31.15,62,20,4.74
158,constitucion,CL,1582183037,-35.33,-72.42,56.26,56.26,52,0,6.93
159,jonava,LT,1582183037,55.08,24.28,37.4,36.86,86,90,5.82
160,roald,NO,1582183038,62.58,6.13,46.0,41.09,63,75,14.99
161,sarrebourg,FR,1582183038,48.73,7.05,44.6,42.8,86,75,8.05
162,nouadhibou,MR,1582183038,20.93,-17.03,62.6,62.6,77,0,18.34
163,gayny,RU,1582183038,60.31,54.32,30.6,30.6,94,95,7.25
164,naze,JP,1582183038,28.37,129.48,66.2,65.23,55,75,8.05
165,carnarvon,AU,1582183039,-24.87,113.63,93.2,93.2,41,97,19.46
166,nishihara,JP,1582183039,26.18,127.76,69.8,67.98,52,40,11.41
167,trincomalee,LK,1582183039,8.57,81.23,81.82,81.82,63,100,7.58
168,san lorenzo,PY,1582183039,-25.33,-57.53,80.6,80.6,83,2,2.24
169,porto novo,BJ,1582183039,6.5,2.6,82.4,82.4,88,20,2.24
170,geraldton,AU,1582183040,-28.77,114.6,84.2,84.2,48,75,8.05
171,oktyabrskiy,RU,1582183040,54.48,53.47,31.96,31.96,97,99,7.81
172,provideniya,RU,1582183040,64.38,-173.3,1.4,1.4,64,100,15.66
173,leningradskiy,RU,1582183041,69.38,178.42,-9.76,-9.76,93,100,20.54
174,aguimes,ES,1582183041,27.91,-15.45,62.6,61.38,63,75,21.92
175,pangody,RU,1582183041,65.85,74.49,28.06,28.06,96,100,6.73
176,panaba,MX,1582183041,21.28,-88.27,74.23,74.23,85,0,7.49
177,tonj,SS,1582183041,7.27,28.68,79.68,79.68,17,35,7.63
178,atherton,GB,1582183042,53.52,-2.49,52.0,49.1,76,75,11.41
179,sarlat-la-caneda,FR,1582182887,44.89,1.22,37.99,34.5,97,90,5.82
180,kloulklubed,PW,1582183042,7.04,134.26,82.4,82.4,74,75,10.29
181,koumac,NC,1582183042,-20.57,164.28,75.33,75.33,83,94,1.28
182,kincardine,GB,1582183042,56.07,-3.72,44.6,41.59,93,75,10.29
183,vila franca do campo,PT,1582183043,37.72,-25.43,51.8,51.8,62,20,12.75
184,poum,NC,1582183043,-20.23,164.02,80.8,80.8,77,3,14.65
185,bambous virieux,MU,1582183044,-20.34,57.76,82.99,82.71,69,40,12.75
186,airai,TL,1582183044,-8.93,125.41,76.82,76.82,84,70,2.44
187,mahebourg,MU,1582183044,-20.41,57.7,82.99,82.69,69,40,12.75
188,gamboula,CF,1582183044,4.12,15.14,68.2,68.2,71,25,1.66
189,izumo,JP,1582183045,35.37,132.77,53.6,53.6,60,20,9.17
190,greenfield,US,1582182758,42.96,-88.01,14.0,7.16,46,1,9.17
191,sao gabriel da cachoeira,BR,1582183045,-0.13,-67.09,75.56,75.56,87,97,1.68
192,xining,CN,1582183045,36.62,101.77,28.51,28.51,40,76,9.17
193,villamontes,BO,1582183045,-21.25,-63.5,72.97,72.97,81,100,4.23
194,kamina,CD,1582183046,-8.74,24.99,69.39,69.39,93,100,3.36
195,salalah,OM,1582183046,17.02,54.09,78.8,78.8,61,40,6.93
196,leh,IN,1582183046,34.17,77.58,9.03,9.03,61,76,2.77
197,russell,US,1582183046,32.35,-85.2,54.0,52.45,93,90,4.7
198,hambantota,LK,1582183047,6.12,81.12,83.68,83.68,71,0,15.61
199,zeerust,ZA,1582183047,-25.54,26.08,71.6,71.6,64,75,9.17
200,ahipara,NZ,1582183047,-35.17,173.17,75.99,75.99,86,79,7.92
201,sur,OM,1582183047,22.57,59.53,80.11,80.11,25,24,3.65
202,gerede,TR,1582183047,40.8,32.2,38.89,38.89,66,100,2.91
203,te anau,NZ,1582183048,-45.42,167.72,62.46,62.46,78,96,8.03
204,taft,IR,1582183048,31.75,54.21,55.4,55.4,35,75,4.7
205,irece,BR,1582183048,-11.3,-41.86,67.98,67.98,93,24,6.24
206,san quintin,MX,1582183048,30.48,-115.95,56.84,56.84,92,0,7.38
207,ossora,RU,1582183049,59.24,163.07,0.66,0.66,81,22,8.32
208,roma,US,1582183026,43.21,-75.46,23.0,20.59,85,90,4.7
209,dakar,SN,1582182941,14.69,-17.44,73.4,72.45,83,93,18.34
210,kavaratti,IN,1582183049,10.57,72.64,81.91,81.91,67,0,8.32
211,saint-ambroise,CA,1582183050,48.55,-71.33,-6.0,-10.03,63,40,11.41
212,ilulissat,GL,1582183050,69.22,-51.1,-2.2,-2.2,49,100,2.24
213,quatre cocos,MU,1582183050,-20.21,57.76,82.99,82.74,69,40,12.75
214,naustdal,NO,1582183051,61.51,5.72,39.2,38.37,94,75,14.99
215,saint-augustin,CA,1582183051,51.23,-58.65,12.9,12.9,73,100,23.64
216,cheney,US,1582183051,47.49,-117.58,30.2,25.52,73,1,6.93
217,meulaboh,ID,1582183051,4.14,96.13,81.79,81.79,76,3,5.57
218,luderitz,NA,1582183052,-26.65,15.16,64.63,64.63,90,40,18.01
219,champerico,GT,1582183052,14.3,-91.92,75.9,75.9,74,6,3.27
220,kenai,US,1582182885,60.55,-151.26,28.0,25.45,79,90,5.82
221,komsomolskiy,UZ,1582183052,40.43,71.72,39.2,38.44,55,0,3.91
222,van,TR,1582183053,38.49,43.38,35.6,35.6,93,75,1.66
223,arinos,BR,1582183053,-15.92,-46.11,69.01,69.01,95,95,0.25
224,antipino,RU,1582183053,57.11,65.76,35.6,35.6,95,90,11.18
225,chapais,CA,1582183053,49.78,-74.85,-23.8,-23.8,74,40,5.82
226,srednekolymsk,RU,1582183054,67.45,153.68,-17.75,-17.75,96,86,4.59
227,vozhega,RU,1582183054,60.47,40.22,32.38,32.38,97,100,8.21
228,cockburn town,TC,1582183054,21.46,-71.14,77.43,77.43,78,8,20.07
229,gobabis,NA,1582183054,-22.45,18.97,71.83,71.83,71,84,8.93
230,arona,ES,1582182933,28.1,-16.68,62.01,57.56,63,20,9.17
231,ancud,CL,1582183056,-41.87,-73.82,48.2,48.2,81,0,11.41
232,palmer,US,1582182837,42.16,-72.33,26.01,22.17,49,1,4.07
233,ponnani,IN,1582183056,10.77,75.93,89.6,89.6,49,20,4.7
234,ketchikan,US,1582183057,55.34,-131.65,35.6,35.6,93,20,3.36
235,sukhaya buyvola,RU,1582183057,45.15,43.0,39.2,39.15,67,38,6.71
236,gazojak,TM,1582183057,41.19,61.4,42.58,42.58,47,13,16.87
237,kaseda,JP,1582183057,31.42,130.32,59.0,57.85,41,40,8.05
238,muravlenko,RU,1582183058,63.79,74.52,30.76,30.76,95,94,15.35
239,chuy,UY,1582183058,-33.7,-53.46,67.28,67.28,92,0,5.32
240,dicabisagan,PH,1582183058,17.08,122.42,74.43,74.43,66,44,14.38
241,qaqortoq,GL,1582183058,60.72,-46.03,8.6,8.6,46,100,10.31
242,zabol,AF,1582183059,32.25,67.25,32.43,32.43,42,0,6.24
243,troitsko-pechorsk,RU,1582183059,62.71,56.2,31.26,31.26,92,100,8.41
244,honningsvag,NO,1582183059,70.98,25.97,28.4,28.4,79,75,9.17
245,mar del plata,AR,1582182888,-38.0,-57.56,55.0,54.68,81,35,5.82
246,beaverlodge,CA,1582183060,55.22,-119.44,6.8,6.8,92,20,4.7
247,hell,NO,1582183060,63.45,10.9,37.4,36.18,55,100,8.05
248,acapulco,MX,1582182860,16.86,-99.89,77.0,77.0,69,5,4.09
249,sao joao da barra,BR,1582183060,-21.64,-41.05,76.5,76.5,85,100,14.41
250,penzance,GB,1582183061,50.12,-5.54,51.01,50.14,93,90,27.51
251,mehamn,NO,1582183061,71.04,27.85,28.4,27.45,86,40,24.16
252,ashington,GB,1582183061,50.93,-0.39,48.99,47.48,100,75,13.87
253,abu zabad,SD,1582183061,12.35,29.25,68.43,68.43,24,9,22.26
254,tabuk,PH,1582183062,17.42,121.44,73.9,73.9,67,76,9.66
255,klaksvik,FO,1582183062,62.23,-6.59,37.4,37.4,69,100,29.97
256,beringovskiy,RU,1582183062,63.05,179.32,-14.3,-14.3,84,0,16.11
257,hobyo,SO,1582183062,5.35,48.53,83.16,83.16,64,83,13.33
258,kavieng,PG,1582183062,-2.57,150.8,84.02,84.02,73,13,18.21
259,lexington,US,1582183063,37.99,-84.48,36.0,33.8,59,1,12.75
260,paciran,ID,1582183063,-6.88,112.38,79.09,79.09,88,99,12.37
261,mahon,ES,1582183063,39.89,4.27,44.6,44.6,87,0,5.82
262,havoysund,NO,1582183063,71.0,24.66,28.4,28.4,79,75,9.17
263,faanui,PF,1582183063,-16.48,-151.75,83.34,83.34,77,100,18.05
264,jiuquan,CN,1582183064,39.74,98.52,21.29,21.29,55,83,2.24
265,dikson,RU,1582183064,73.51,80.55,6.91,6.91,88,97,9.06
266,mahibadhoo,MV,1582183064,3.78,72.97,81.68,81.68,75,11,18.12
267,yumen,CN,1582183064,40.28,97.2,32.59,32.59,24,100,24.2
268,katima mulilo,NA,1582183064,-17.5,24.27,70.39,70.39,88,71,6.46
269,lagoa,PT,1582183065,39.05,-27.98,54.52,54.52,59,0,14.47
270,yeppoon,AU,1582183065,-23.13,150.73,89.6,89.6,52,75,16.11
271,portland,US,1582182600,45.52,-122.68,48.2,42.26,36,1,17.22
272,bayan,CN,1582183066,46.08,127.4,33.01,33.01,41,92,5.91
273,kruisfontein,ZA,1582183066,-34.0,24.73,76.55,76.55,63,17,16.96
274,isangel,VU,1582183066,-19.55,169.27,79.2,79.2,79,45,12.93
275,vila,PT,1582183066,42.03,-8.16,48.0,41.25,93,0,3.36
276,lyuban,BY,1582183067,52.8,28.0,33.13,33.13,89,42,5.39
277,usinsk,RU,1582183067,65.99,57.53,27.84,27.84,97,98,4.63
